type,uri,element,value
collectionobjects,/collectionobjects/6e74ac84-0b06-41ec-aeaa,objectNumber,2014.9869
collectionobjects,/collectionobjects/4f0501b4-98f1-46c5-bb4c,objectNumber,2004.525
collectionobjects,/collectionobjects/faa28c31-c679-440e-9cd8,objectNumber,2014.9731
collectionobjects,/collectionobjects/996ec138-e785-48b1-94c8,objectNumber,2014.9867
collectionobjects,/collectionobjects/a5d9ff64-07da-47b6-aa66,objectNumber,2004.6629
collectionobjects,/collectionobjects/a468660d-9e32-4494-b3a6,objectNumber,2004.6623
collectionobjects,/collectionobjects/15760541-f5a9-46de-bccc,objectNumber,2000.5342
collectionobjects,/collectionobjects/9adbc5db-2be8-48b5-84ba,objectNumber,2014.9756
collectionobjects,/collectionobjects/435364c9-61a4-42d7-96cd,objectNumber,2014.9718
collectionobjects,/collectionobjects/722396db-a990-4bb3-a13c,objectNumber,1987.501
collectionobjects,/collectionobjects/d2712e61-c34f-4c10-90ea,objectNumber,2014.9816
collectionobjects,/collectionobjects/6409b846-c965-4ea5-8a5e,objectNumber,2014.981
collectionobjects,/collectionobjects/3c4772c1-99a1-4fcb-ae63,objectNumber,1988.585
collectionobjects,/collectionobjects/6ca753fe-11fb-4835-9a97,objectNumber,2014.971
collectionobjects,/collectionobjects/92bd5f25-66ad-4e3d-a828,objectNumber,2014.9851
collectionobjects,/collectionobjects/bee746ef-d277-41f5-8d3f,objectNumber,2014.9726
collectionobjects,/collectionobjects/ba2f7c17-44da-425f-a5f0,objectNumber,2014.9734
collectionobjects,/collectionobjects/f3c0ee6c-9467-4af7-82ad,objectNumber,1994.1171
collectionobjects,/collectionobjects/97c2fb46-7e79-40cc-af74,objectNumber,2014.9759
collectionobjects,/collectionobjects/8c1352e1-c025-497c-a86a,objectNumber,2013.97
collectionobjects,/collectionobjects/5edadf49-2975-45ae-9c64,objectNumber,2014.9809
collectionobjects,/collectionobjects/83d256f4-edad-4ab7-8e45,objectNumber,2010.8937
collectionobjects,/collectionobjects/dd96dc94-d693-459a-8483,objectNumber,2014.9745
collectionobjects,/collectionobjects/5c3c6e13-4377-4985-9d23,objectNumber,2013.9433
collectionobjects,/collectionobjects/2dc9d90c-7213-4b26-8756,objectNumber,2000.5407
collectionobjects,/collectionobjects/4d4288e8-43ed-4098-8ab4,objectNumber,2014.9802
collectionobjects,/collectionobjects/a441d571-d005-4632-9eed,objectNumber,2007.8701
collectionobjects,/collectionobjects/062ffec0-4676-4f48-abdf,objectNumber,2014.985
collectionobjects,/collectionobjects/05ecb243-1861-4a98-b8ef,objectNumber,2004.6624
collectionobjects,/collectionobjects/8143133d-36d6-43a2-9c13,objectNumber,2014.972
collectionobjects,/collectionobjects/4abb51c0-768b-46a3-a848,objectNumber,2014.98
collectionobjects,/collectionobjects/19bdeaf5-4aa7-4dc3-9213,objectNumber,2014.9843
collectionobjects,/collectionobjects/58d2d7a7-69e4-4d47-acee,objectNumber,1994.1182
collectionobjects,/collectionobjects/97e2e809-8c7f-4d88-8ec9,objectNumber,2014.9723
collectionobjects,/collectionobjects/52db5e76-ee0c-464a-911f,objectNumber,2002.5177
collectionobjects,/collectionobjects/89e226b2-6524-47a9-9b2f,objectNumber,2000.4958
collectionobjects,/collectionobjects/5f5884b6-aeb7-4169-a82c,objectNumber,2004.8077
collectionobjects,/collectionobjects/0fb04093-3aa5-4fb4-afd1,objectNumber,2000.5364
collectionobjects,/collectionobjects/b5a8cc05-45dd-4002-805d,objectNumber,2014.9725
collectionobjects,/collectionobjects/21da2c5b-7361-4f14-be15,objectNumber,2014.9708
collectionobjects,/collectionobjects/5a0c9390-a8c7-479c-b53c,objectNumber,2014.9791
collectionobjects,/collectionobjects/654c41be-daf7-4f49-9bb8,objectNumber,2001.5365
collectionobjects,/collectionobjects/7acc0216-1e6f-4094-b4ea,objectNumber,2014.9796
collectionobjects,/collectionobjects/44456036-1747-48b1-ae08,objectNumber,2014.9755
collectionobjects,/collectionobjects/1bfcd27b-f635-4355-81a7,objectNumber,1994.1166
collectionobjects,/collectionobjects/69769f72-5364-4536-b53a,objectNumber,2008.7653
collectionobjects,/collectionobjects/217d225c-957f-4a14-a55d,objectNumber,2014.9847
collectionobjects,/collectionobjects/e0b842a2-b797-47de-86a2,objectNumber,2004.6633
collectionobjects,/collectionobjects/5bcd0b44-edfd-4dc7-9688,objectNumber,2002.5248
collectionobjects,/collectionobjects/a3161bb9-360a-4f0f-942a,objectNumber,2000.5101
collectionobjects,/collectionobjects/1f1f5f0a-3679-4c9b-8f4c,objectNumber,1981.1
collectionobjects,/collectionobjects/5b44190b-2bbb-4cec-b4b7,objectNumber,2014.9814
collectionobjects,/collectionobjects/f422da23-2346-4d9d-aacd,objectNumber,2013.9456
collectionobjects,/collectionobjects/a7a43f5d-713b-4a12-9918,objectNumber,2014.9845
collectionobjects,/collectionobjects/12d47c03-78d1-412a-82b0,objectNumber,2014.9797
collectionobjects,/collectionobjects/2607441e-1803-47ba-b793,objectNumber,2013.9711
collectionobjects,/collectionobjects/4a382830-6d6d-47a9-b66e,objectNumber,2013.9701
collectionobjects,/collectionobjects/7c9657fe-95b3-46e1-b59e,objectNumber,2014.973
collectionobjects,/collectionobjects/1cc3e37b-acda-4e8a-8b6b,objectNumber,2004.5184
collectionobjects,/collectionobjects/36977a93-1677-4101-97e6,objectNumber,2010.8936
collectionobjects,/collectionobjects/b46b29a0-61de-41eb-afcd,objectNumber,2014.9704
collectionobjects,/collectionobjects/dad05ffc-3528-40b6-9c5e,objectNumber,2012.9271
collectionobjects,/collectionobjects/833fb192-c34a-4101-8791,objectNumber,2014.9729
collectionobjects,/collectionobjects/b4a5de21-d17d-4f7f-96da,objectNumber,2014.9859
collectionobjects,/collectionobjects/8e4c96fc-eb9e-4e5d-a5a2,objectNumber,2014.9746
collectionobjects,/collectionobjects/99b794b6-331a-4928-a13b,objectNumber,2004.6652
collectionobjects,/collectionobjects/9df8a491-a455-4241-8ca9,objectNumber,2014.9743
collectionobjects,/collectionobjects/feea1a07-3ede-4794-8271,objectNumber,2014.987
collectionobjects,/collectionobjects/1441975e-daf6-4914-b7a8,objectNumber,2014.9728
collectionobjects,/collectionobjects/4c43d2e0-1d00-499d-bfda,objectNumber,2006.7312
collectionobjects,/collectionobjects/c696bf35-35c4-4363-91f0,objectNumber,2014.9752
collectionobjects,/collectionobjects/a607e7ad-95a3-4ba5-9059,objectNumber,1994.1162
collectionobjects,/collectionobjects/b74cb57c-5afc-4958-8b49,objectNumber,2003.6645
collectionobjects,/collectionobjects/9c483d77-251e-4c81-a716,objectNumber,2008.7652
collectionobjects,/collectionobjects/b5b871a1-61f9-4517-96a7,objectNumber,2014.9706
collectionobjects,/collectionobjects/6f832d27-fe99-4b81-a643,objectNumber,2000.5408
