type,uri,element,value
collectionobjects,/collectionobjects/1441975e-daf6-4914-b7a8,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/feea1a07-3ede-4794-8271,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/99b794b6-331a-4928-a13b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/9df8a491-a455-4241-8ca9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/8e4c96fc-eb9e-4e5d-a5a2,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b4a5de21-d17d-4f7f-96da,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/833fb192-c34a-4101-8791,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/dad05ffc-3528-40b6-9c5e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b46b29a0-61de-41eb-afcd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/36977a93-1677-4101-97e6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1cc3e37b-acda-4e8a-8b6b,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7c9657fe-95b3-46e1-b59e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4a382830-6d6d-47a9-b66e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/12d47c03-78d1-412a-82b0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/2607441e-1803-47ba-b793,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a7a43f5d-713b-4a12-9918,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5b44190b-2bbb-4cec-b4b7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f422da23-2346-4d9d-aacd,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1f1f5f0a-3679-4c9b-8f4c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/a3161bb9-360a-4f0f-942a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e0b842a2-b797-47de-86a2,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5bcd0b44-edfd-4dc7-9688,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/217d225c-957f-4a14-a55d,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/69769f72-5364-4536-b53a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/1bfcd27b-f635-4355-81a7,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/44456036-1747-48b1-ae08,responsibleDepartment,artcollection
